PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT
F9913VF,Terminal cover for PR option (Red colour),1,,,,,,,1,,,,PR,,X2
F9913SA,Case 2 - Terminal Cover,1,,,,,,,2,,,,,,"PR,X2"
F9913SB,COVER,1,,,,,,,2,,,,PR,,X2
F9913DF,TERMINAL COVER,1,,"EJA510E,EJA530E",,,,,3,,,,PR,,X2
F9913TA,Case 1 - Terminal Cover,1,2,,,,,,1,,,,,,"PR,X2"
F9913VA,Case 1 - Terminal Cover with /X2,1,2,,,,,,1,,,,X2,,PR
F9913CA,Case 3 - Terminal Cover,1,2,"EJA510E,EJA530E",,,,,3,,,,,,"PR,X2"
F9913DA,Case 3 - Terminal Cover with /X2,1,2,"EJA510E,EJA530E",,,,,3,,,,X2,,PR
F9910LE,O-Ring for Terminal Cover,1,,,,,,,,,,,,,HE
F9900GR,O-Ring for Terminal Cover when /HE,1,,,,,,,,,,,HE,,
F9341JP,O-Ring for Meter / Blind Cover,1,,,,,,,,,,,,,HE
F9900GS,O-Ring for Meter / Blind Cover when /HE,1,,,,,,,,,,,HE,,
F9341JS,Zero Screw Cover,1,,,,,,,,,,,,,
F9900GZ,"Screw for fixing zero screw cover, Ext. Gr., Int. Gr. & Back board for Case 1 or 2 or Int. Gr. & Back board for Case 3",2,,,,,,,,,,,,,
F9903HE,Case 2 - Terminal Cover with /X2,1,,"EJA510E,EJA530E",,,,,2,,,,X2,,PR
F9900RS,Name Plate,1,,"EJA510E,EJA530E",,,,,,,,,,,
F9900RE,Tag Plate,1,,,,,,,"1,2,3",,,,,,
F9900RG,"Screw - Name Plate, Tag Plate & Cert. Tag Plate for Case-1 or 3",4,,,,,,,"1,3",,,,,,
F9900RR,"Screw - Name Plate, Tag Plate & Cert. Tag Plate for Case-2",4,,,,,,,2,,,,,,
F9900GC,Case Lock Screw for Case-1 or 3,2,,,,,,,"1,3",,,,,,HC
F9900RH,Case Lock Screw for Case-2 or when /HC option,2,,,,,,,"1,3",,,,HC,,
F9900RH,Case Lock Screw for Case-2 or when /HC option,2,,,,,,,2,,,,,,
F9900GH,Capsule O-ring,1,,,,,,,,,,,,,HE
F9900GT,Capsule O-ring when /HE,1,,,,,,,,,,,HE,,
F9300AF,Capsule Oil seal hole closing plate,1,,,,,,,,,,,,,
F9299ZZ,SILICONE RUBBER,0,,,,,,,,,,,,,
F9202SJ,SILICONGRE G-40M 1KG,0,,,,,,,,,,,,,
C2138DE,TAPES,0,,,,,,,,,,,,,
F9900GE,Rotation Stopper Plate,1,,,,"A,B,C",,,,,,,,,
F9940WG,Rotation Stopper Plate for EJA530 'D' cap,1,,,,D,,,,,,,,,
F9900RJ,Rotation Stopper Screw,1,,,,,,,,,,,,,
F9921AE,Profi bus - Amp. ,1,,"EJA510E,EJA530E",G,,,,,,,,GS16,,
F9921AJ,Profi bus - Amp. ,1,,"EJA510E,EJA530E",G,,,,,,,,,,GS16
F9920BN,Hart/BRAIN - Amp. With Cert,1,,,"D,J",,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,JS4,KS21,KU22,NS21,PS21,SU21,SU22,US1",SLT
F9920BQ,Hart/BRAIN - Amp. w/o Cert,1,,,"D,J",,,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,JS4,KS21,KU22,NS21,PS21,SLT,SU21,SU22,US1"
F9921AD,AMP ASSY,1,,,F,,,,,,,,GS16,,
F9921AH,Field bus - Amp. With Cert,1,,,F,,,,,,,,,,GS16
F9920BX,Low Power - Amplifier,1,,,Q,,,,,,,,,,SLT
F9920HN,AMP ASSY,1,,,"D,J",,,,,,,,SLT,,JH05
F9920TK,TERMINAL ASSY,1,,,"D,J",,,,,,,,,"JS4,NS21,PS21,US1","A,CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,J12,KS21,KU22,SU21,SU22"
F9920TS,Brain/Hart - LPT Assy. with Cert F9920TT,1,,,"D,J",,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GU11","A,GS12,GS21,GU12,GU21,J12,JS4,KS21,KU22,NS21,PS21,SU21,SU22,US1"
F9920TT,TERMINAL ASSY,1,,,"D,J",,,,,,,,,"GS12,GS21,GU12,GU21,KS21,KU22,SU21,SU22","A,CS1,CU1,FS1,FU1,GS11,GU11,J12,JS4,NS21,PS21,US1"
F9920TX,Low Power - LPT Assy,1,,,Q,,,,,,,,,,"A,SLT"
F9920TL,TERMINAL ASSY,1,,,"D,J",,,,,,,,J12,,"A,CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,JS4,NS21,PS21,SU21,SU22,US1"
F9920TP,Brain/Hart - LPT Assy. w/o Cert,1,,,"D,J",,,,,,,,,,"A,CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,J12,JS4,KS21,KU22,NS21,PS21,SLT,SU21,SU22,US1"
F9921TF,Field/Profi Bus - LPT Assy. w/o Cert,1,,"EJA510E,EJA530E",G,,,,,,,,,,"A,CS15,FS15,GS16,KS26,NS25,SS26"
F9920VK,LPT ASSY,1,,,"D,J",,,,,,,,A,"JS4,NS21,PS21,US1","CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,J12,KS21,KU22,SU21,SU22"
F9920VS,Brain/Hart - LPT Assy. with Cert & /A F9920VT,1,,,"D,J",,,,,,,,A,"CS1,CU1,FS1,FU1,GS11,GU11","GS12,GS21,GU12,GU21,J12,JS4,KS21,KU22,NS21,PS21,SU21,SU22,US1"
F9920VT,LPT ASSY,1,,,"D,J",,,,,,,,A,"GS12,GS21,GU12,GU21,KS21,KU22,SU21,SU22","CS1,CU1,FS1,FU1,GS11,GU11,J12,JS4,NS21,PS21,US1"
F9920VY,Low Power - LPT Assy & /A,1,,,Q,,,,,,,,A,,SLT
F9920VP,Brain/Hart - LPT Assy. w/o Cert & /A,1,,,"D,J",,,,,,,,A,,"CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,J12,JS4,KS21,KU22,NS21,PS21,SLT,SU21,SU22,US1"
F9921VF,Field/Profi Bus - LPT Assy. w/o Cert & /A,1,,"EJA510E,EJA530E",G,,,,,,,,A,,"CS15,FS15,GS16,KS26,NS25,SS26"
F9920VL,LPT ASSY,1,,,"D,J",,,,,,,,"A,J12",,"CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,JS4,NS21,PS21,SU21,SU22,US1"
F9920TS,Brain/Hart - LPT Assy. with Cert F9920TT,1,,,"D,J",,,,,,,,SLT,,"A,CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,J12,JH05,JS4,KS21,KU22,NS21,PS21,SU21,SU22,US1"
F9920VS,Brain/Hart - LPT Assy. with Cert & /A F9920VT,1,,,"D,J",,,,,,,,"A,SLT",,"CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,J12,JH05,JS4,KS21,KU22,NS21,PS21,SU21,SU22,US1"
F9921TC,TERMINAL ASSY,1,,,"F,G",,,,,,,,GS16,,A
F9921VC,LPT ASSY,1,,,"F,G",,,,,,,,"A,GS16",,
F9921TF,Field/Profi Bus - LPT Assy. w/o Cert,1,,,F,,,,,,,,,,"A,CS15,FS15,GS16,KS26,NS25,SS26"
F9921TG,Field/Profi Bus - LPT Assy. with Cert,1,,,"F,G",,,,,,,,,"CS15,FS15,KS26,NS25,SS26",A
F9921VF,Field/Profi Bus - LPT Assy. w/o Cert & /A,1,,,F,,,,,,,,A,,"CS15,FS15,GS16,KS26,NS25,SS26"
F9921VG,Field/Profi Bus - LPT Assy. with Cert & /A,1,,,"F,G",,,,,,,,A,"CS15,FS15,KS26,NS25,SS26",
F9342NJ,2-Core Cable,1,,,"D,F,G,J",,,,,,,,,,
F9920LU,LCD Assy. w/o SW,1,,,,,,,,,D,,,,
F9920LV,LCD Assy. with SW,1,,,,,,,,,E,,,,
F9342MK,Nut for LCD Assy.,2,,,,,,,,,"D,E",,,,
F9342NF,FF LABEL,0,,,F,,,,,,,,,,"VE,VR"
F9342NG,PROFIBUS LABEL,0,,,G,,,,,,,,,,"VE,VR"
F9903HM,CASE,1,,"EJA510E,EJA530E",,,,,2,A,,,X2,,
F9903HJ,CASE,1,,"EJA510E,EJA530E",,,,,2,"2,C",,,X2,,
F9903HK,CASE,1,,"EJA510E,EJA530E",,,,,2,"4,D",,,X2,,
F9903HL,CASE,1,,"EJA510E,EJA530E",,,,,2,"2,C",,,X2,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,KF22,KS21,KS26,KU22,PF22,PF23,PS21,SF2,SF22,UF1,US1",
F9903HL,CASE,1,,"EJA510E,EJA530E",,,,,2,"2,C",,,X2,"GF11,GF12,GF21,GS11,GS12,GS16,GS21,GU11,GU12,GU21,NF2,NF21,NS21,NS25,SS26,SU21,SU22",
F9913WC,CASE,1,,"EJA510E,EJA530E",,,,,2,A,,,,,X2
F9913WG,"Case 2, EC-1/2 NPT (E-Conn 2 or C)",1,,"EJA510E,EJA530E",,,,,2,"2,C",,,,,X2
F9913WG,"Case 2, EC-1/2 NPT (E-Conn 2 or C)",-1,,"EJA510E,EJA530E",,,,,2,"2,C",,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,GF11,GF12,GF21,GS11,GS12,GS16,GS21,GU11,GU12,GU21",X2
F9913WG,"Case 2, EC-1/2 NPT (E-Conn 2 or C)",-1,,"EJA510E,EJA530E",,,,,2,"2,C",,,,"KF22,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PF23,PS21,SF2,SF22,SS26,SU21,SU22,UF1,US1",X2
F9913WJ,"Case 2, EC-M20 (E-Conn 4 or D)",1,,"EJA510E,EJA530E",,,,,2,"4,D",,,,,X2
F9913WH,"Case 2, EC-1/2 NPT with Cert (E-Conn 2 or C)",1,,"EJA510E,EJA530E",,,,,2,"2,C",,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,KF22,KS21,KS26,KU22,PF22,PF23,PS21,SF2,SF22,UF1,US1",X2
F9913WH,"Case 2, EC-1/2 NPT with Cert (E-Conn 2 or C)",1,,"EJA510E,EJA530E",,,,,2,"2,C",,,,"GF11,GF12,GF21,GS11,GS12,GS16,GS21,GU11,GU12,GU21,NF2,NF21,NS21,NS25,SS26,SU21,SU22",X2
F9913QA,"Case 1, EC-G1/2",1,2,,,,,,1,0,,,,,X2
F9913QC,CASE,1,2,,,,,,1,"5,A",,,,,X2
F9913QG,"Case 1, EC-1/2 NPT,  w/o cert",1,2,,,,,,1,"2,7,C",,,,,X2
