SAP Linkage No,yhq Sales Order No,yhq Sales Order Item No,Item Entry Date,Order Type,Model,Qty,QIC Delivery Style,"Contractor
Corporate
ID",P/O  No.,"Customer's
P/O No.","Delivery
Customer
Id","End user
Country
Code","Estimated
FOB","yhq
Sales
Date
(On or about
Ship date)",Remarks,Ship Point,MS Code,Production Center,"Ship Point 
(ship from 
factory)",Order No,Item No,"Start
Manufacturing
Date","Instructed
Complete
Date","Complete
Date",Actual Date,"Current
Status"
1007174470000010,2008290110,000120,2022/09/13,Y101,FLXA202,2,A,L2Q00,4510153224,4510153224,C2Q00012,IN,2023/12/03,2023/12/01,,1009,FLXA202-D-B-D-CB-P1-NN-A-N-LA-N-NN/U,YAS,3U12,2008531826,000020,2023/11/14,2023/11/23,2023/11/23,2023/12/01,Ship Out
1007174504000010,2008290110,000140,2022/09/13,Y101,K9358QN,1,,L2Q00,4510153224,4510153224,C2Q00012,IN,2023/11/07,2023/10/27,,1022,K9358QN,YMG,5828,2008531878,000020,2023/01/24,2023/10/27,2023/10/24,2023/10/24,Ship Out
1007454637000010,2008399458,000030,2022/09/02,Y101,FLXA21,3,A,L2Q00,4510283730,4510283730,C2Q00012,IN,2023/12/03,2023/12/01,,1009,FLXA21-D-P-D-CB-P1-NN-F-N-LA-N-NN/CD4,YAS,3U12,2008513160,000010,2023/03/22,2023/11/23,2023/11/24,2023/12/01,Ship Out
1007454640000010,2008399458,000060,2022/09/02,Y101,FLXA21,1,A,L2Q00,4510283730,4510283730,C2Q00012,IN,2023/12/03,2023/12/01,,1009,FLXA21-D-P-D-CB-P1-NN-F-N-LA-N-NN/CD4,YAS,3U12,2008513160,000040,2023/03/22,2023/11/23,2023/11/24,2023/12/01,Ship Out
1007471917000010,2008527222,000010,2022/09/09,Y101,FLXA21,3,A,L2Q00,4510437038,4510437038,C2Q00012,IN,2023/12/03,2023/12/01,,1009,FLXA21-D-P-D-CB-C1-NN-A-N-LA-N-NN,YAS,3U12,2008527275,000010,2023/11/14,2023/11/23,2023/11/23,2023/12/01,Ship Out
1007549316000010,2008591841,000050,2022/10/11,Y101,AAV141,1,,L2Q00,4510512938,4510512938,C2Q00012,IN,2023/12/01,2023/11/14,,1009,AAV141-S50/K4A00,YAS,3U12,2008591767,000050,2023/10/20,2023/11/10,2023/10/31,2023/11/14,Ship Out
1007549318000010,2008591841,000070,2022/10/11,Y101,AAB841,1,,L2Q00,4510512938,4510512938,C2Q00012,IN,2023/12/01,2023/11/14,,1009,AAB841-S50/M4A00,YAS,3U12,2008591767,000070,2023/10/18,2023/11/10,2023/10/28,2023/11/14,Ship Out
1007553091000010,2008762885,000020,2022/12/28,Y101,SAI143,2,,L2Q00,4510723174,4510723174,C2Q00012,IN,2023/10/03,2023/09/29,,1009,SAI143-H53/A4S10,YAS,3U12,2008762895,000020,2023/09/05,2023/09/22,2023/09/19,2023/09/29,Ship Out
1007553092000010,2008762885,000030,2022/12/28,Y101,SAI533,2,,L2Q00,4510723174,4510723174,C2Q00012,IN,2023/10/03,2023/09/29,,1009,SAI533-H53/A4S10,YAS,3U12,2008762895,000030,2023/09/05,2023/09/22,2023/09/19,2023/09/29,Ship Out
1007553100000010,2008762885,000090,2022/12/28,Y101,SAI143,1,,L2Q00,4510723174,4510723174,C2Q00012,IN,2023/10/03,2023/09/29,,1009,SAI143-H53/A4S10,YAS,3U12,2008762895,000090,2023/09/05,2023/09/22,2023/09/19,2023/09/29,Ship Out
1007553101000010,2008762885,000100,2022/12/28,Y101,SAI533,1,,L2Q00,4510723174,4510723174,C2Q00012,IN,2023/10/03,2023/09/29,,1009,SAI533-H53/A4S10,YAS,3U12,2008762895,000100,2023/09/05,2023/09/22,2023/09/19,2023/09/29,Ship Out
1007560371000010,2008598444,000010,2022/10/13,Y101,FLXA21,3,A,L2Q00,4510522476,4510522476,C2Q00012,IN,2023/12/03,2023/12/01,,1009,FLXA21-D-P-D-CB-P1-NN-A-N-LA-N-NN,YAS,3U12,2008598373,000010,2023/03/27,2023/11/23,2023/11/23,2023/12/01,Ship Out
1007560372000010,2008598444,000020,2022/10/13,Y101,FLXA21,3,A,L2Q00,4510522476,4510522476,C2Q00012,IN,2023/12/04,2023/12/01,,1009,FLXA21-D-P-D-CB-C1-NN-A-N-LA-N-NN,YAS,3U12,2008598373,000020,2023/03/27,2023/11/24,2023/11/23,2023/12/01,Ship Out
1007564269000010,2008601138,000010,2022/10/14,Y101,FLXA21,2,A,L2Q00,4510525737,4510525737,C2Q00012,IN,2024/01/09,,,1009,FLXA21-D-P-D-CB-P1-NN-A-N-LA-N-NN,YAS,3U12,2008601228,000010,,2023/12/28,,,
1007564270000010,2008601138,000020,2022/10/14,Y101,FLXA21,2,A,L2Q00,4510525737,4510525737,C2Q00012,IN,2024/01/09,,,1009,FLXA21-D-P-D-CB-C1-NN-A-N-LA-N-NN,YAS,3U12,2008601228,000020,,2023/12/28,,,
1007747631000010,2008748324,000070,2022/12/22,Y101,SAI143,2,,L2Q00,4510706270,4510706270,C2Q00012,IN,2023/09/18,2023/09/11,,1009,SAI143-H63,YAS,3U12,2008748353,000070,2023/08/18,2023/09/08,2023/08/31,2023/09/11,Ship Out
1007756058000010,2008723121,000140,2022/12/23,Y101,SAI143,37,,L2Q00,4510676297,4510676297,C2Q00012,IN,2023/09/25,2023/09/22,,1009,SAI143-H63,YAS,3U12,2008751743,000130,2023/08/24,2023/09/15,2023/09/13,2023/09/22,Ship Out
1007756232000010,2008365972,005280,2022/12/23,Y101,AFV30D,16,,L2Q00,4510243876,4510243876,C2Q00012,IN,2023/09/24,2023/09/05,,1009,AFV30D-A41152,YAS,3U13,2008365926,005270,2023/07/24,2023/08/15,2023/08/16,2023/09/05,Ship Out
1007756244000010,2008365972,005300,2022/12/23,Y101,AAI841,99,,L2Q00,4510243876,4510243876,C2Q00012,IN,2023/09/14,2023/09/06,,1009,AAI841-H50/K4A00,YAS,3U12,2008365926,005290,2023/08/08,2023/09/04,2023/08/24,2023/09/06,Ship Out
1007756245000010,2008365972,005310,2022/12/23,Y101,AAI841,99,,L2Q00,4510243876,4510243876,C2Q00012,IN,2023/09/14,2023/09/06,,1009,AAI841-H50/K4A00,YAS,3U12,2008365926,005300,2023/08/08,2023/09/04,2023/08/24,2023/09/06,Ship Out
1007756246000010,2008365972,005320,2022/12/23,Y101,AAI841,99,,L2Q00,4510243876,4510243876,C2Q00012,IN,2023/09/14,2023/09/06,,1009,AAI841-H50/K4A00,YAS,3U12,2008365926,005310,2023/08/08,2023/09/04,2023/08/28,2023/09/06,Ship Out
1007756247000010,2008365972,005330,2022/12/23,Y101,AAI841,19,,L2Q00,4510243876,4510243876,C2Q00012,IN,2023/09/14,2023/09/06,,1009,AAI841-H50/K4A00,YAS,3U12,2008365926,005320,2023/08/08,2023/09/04,2023/08/24,2023/09/06,Ship Out
1007756249000010,2008365972,005350,2022/12/23,Y101,AAI141,99,,L2Q00,4510243876,4510243876,C2Q00012,IN,2023/09/14,2023/09/06,,1009,AAI141-H50/K4A00,YAS,3U12,2008365926,005340,2023/08/08,2023/09/04,2023/08/23,2023/09/06,Ship Out
1007758773000010,2008716010,000210,2022/12/23,Y101,AAB841,3,,L2Q00,4510667296,4510667296,C2Q00012,IN,2023/10/29,2023/09/22,,1009,AAB841-S50/M4A00,YAS,3U12,2008716022,000210,2023/09/06,2023/10/19,2023/09/14,2023/09/22,Ship Out
1007761936000010,2008754828,000040,2022/12/26,Y101,SAI143,3,,L2Q00,4510713289,4510713289,C2Q00012,IN,2023/09/25,2023/09/19,,1009,SAI143-H63,YAS,3U12,2008754856,000040,2023/08/24,2023/09/15,2023/09/12,2023/09/19,Ship Out
1007762043000010,2008753700,000080,2022/12/26,Y101,SAI143,16,,L2Q00,4510712004,4510712004,C2Q00012,IN,2023/09/25,2023/09/22,,1009,SAI143-H63,YAS,3U12,2008753679,000080,2023/08/24,2023/09/15,2023/09/15,2023/09/22,Ship Out
1007762514000010,2008754778,000060,2022/12/26,Y101,SAI143,21,,L2Q00,4510713462,4510713462,C2Q00012,IN,2023/09/25,2023/09/22,,1009,SAI143-H63,YAS,3U12,2008754860,000060,2023/08/24,2023/09/15,2023/09/15,2023/09/22,Ship Out
1007767967000010,2008754779,000470,2022/12/27,Y101,SAI143,99,,L2Q00,4510713463,4510713463,C2Q00012,IN,2023/09/25,2023/09/22,,1009,SAI143-H63,YAS,3U12,2008754864,000470,2023/08/24,2023/09/15,2023/09/14,2023/09/22,Ship Out
1007767968000010,2008754779,000300,2022/12/27,Y101,SAI143,70,,L2Q00,4510713463,4510713463,C2Q00012,IN,2023/09/25,2023/09/22,,1009,SAI143-H63,YAS,3U12,2008754864,000300,2023/08/24,2023/09/15,2023/09/12,2023/09/22,Ship Out
1007767969000010,2008754779,000480,2022/12/27,Y101,SAI533,15,,L2Q00,4510713463,4510713463,C2Q00012,IN,2023/09/25,2023/09/22,,1009,SAI533-H63,YAS,3U12,2008754864,000480,2023/08/24,2023/09/15,2023/09/14,2023/09/22,Ship Out
1007769226000010,2008720742,000700,2022/12/27,Y101,SPW484,6,,L2Q00,4510673181,4510673181,C2Q00012,IN,2023/10/12,2023/09/25,,1009,SPW484-53,YAS,3U13,2008720752,000700,2023/08/15,2023/09/01,2023/08/31,2023/09/25,Ship Out
1007769227000010,2008720742,000710,2022/12/27,Y101,SEC402,2,,L2Q00,4510673181,4510673181,C2Q00012,IN,2023/10/10,2023/09/25,,1009,SEC402-51,YAS,3U13,2008720752,000710,2023/08/11,2023/08/30,2023/08/23,2023/09/25,Ship Out
1007769228000010,2008720742,000720,2022/12/27,Y101,SDV144,9,,L2Q00,4510673181,4510673181,C2Q00012,IN,2023/10/10,2023/09/25,,1009,SDV144-S63,YAS,3U13,2008720752,000720,2023/08/08,2023/08/30,2023/08/24,2023/09/25,Ship Out
1007769229000010,2008720742,000730,2022/12/27,Y101,SDV541,1,,L2Q00,4510673181,4510673181,C2Q00012,IN,2023/10/10,2023/09/25,,1009,SDV541-S63,YAS,3U13,2008720752,000730,2023/08/08,2023/08/30,2023/08/22,2023/09/25,Ship Out
1007769230000010,2008720742,000740,2022/12/27,Y101,SBD4D,12,,L2Q00,4510673181,4510673181,C2Q00012,IN,2023/10/10,2023/09/25,,1009,SBD4D-06,YAS,3U13,2008720752,000740,2023/07/26,2023/08/30,2023/08/08,2023/09/25,Ship Out
1007769232000010,2008720742,000760,2022/12/27,Y101,S9342FA,3,,L2Q00,4510673181,4510673181,C2Q00012,IN,2023/10/10,2023/09/25,,1009,S9342FA,YAS,3U13,2008720752,000760,2023/08/17,2023/08/30,2023/08/30,2023/09/25,Ship Out
1007769289000010,2008433591,001030,2022/12/27,Y101,VI702,20,,L2Q00,4510322677,4510322677,C2Q00012,IN,2023/12/08,2023/10/23,,1009,VI702,YAS,3U13,2008433632,001030,2023/09/13,2023/10/30,2023/10/05,2023/10/23,Ship Out
1007769290000010,2008433591,001040,2022/12/27,Y101,PW484,99,,L2Q00,4510322677,4510322677,C2Q00012,IN,2023/10/12,2023/09/11,,1009,PW484-50,YAS,3U13,2008433632,001040,2023/08/15,2023/09/01,2023/08/29,2023/09/11,Ship Out
1007769291000010,2008433591,001050,2022/12/27,Y101,PW484,39,,L2Q00,4510322677,4510322677,C2Q00012,IN,2023/10/12,2023/09/11,,1009,PW484-50,YAS,3U13,2008433632,001050,2023/08/15,2023/09/01,2023/08/31,2023/09/11,Ship Out
1007769292000010,2008433591,001060,2022/12/27,Y101,CP471,21,,L2Q00,4510322677,4510322677,C2Q00012,IN,2023/10/12,2023/09/11,,1009,CP471-00,YAS,3U13,2008433632,001060,2023/08/16,2023/09/01,2023/08/29,2023/09/11,Ship Out
1007769293000010,2008433591,001070,2022/12/27,Y101,EC402,21,,L2Q00,4510322677,4510322677,C2Q00012,IN,2023/10/10,2023/09/25,,1009,EC402-50,YAS,3U13,2008433632,001070,2023/08/11,2023/08/30,2023/08/18,2023/09/25,Ship Out
1007769294000010,2008433591,001080,2022/12/27,Y101,SB401,99,,L2Q00,4510322677,4510322677,C2Q00012,IN,2023/10/10,2023/09/25,,1009,SB401-50,YAS,3U13,2008433632,001080,2023/08/10,2023/08/30,2023/08/21,2023/09/25,Ship Out
1007769295000010,2008433591,001090,2022/12/27,Y101,SB401,12,,L2Q00,4510322677,4510322677,C2Q00012,IN,2023/10/10,2023/09/05,,1009,SB401-50,YAS,3U13,2008433632,001090,2023/07/21,2023/08/03,2023/08/02,2023/09/05,Ship Out
1007769296000010,2008433591,001100,2022/12/27,Y101,A2EE1A,99,,L2Q00,4510322677,4510322677,C2Q00012,IN,2023/10/10,2023/09/25,,1009,A2EE1A-N,YAS,3U13,2008433632,001100,2023/08/08,2023/08/30,2023/08/30,2023/09/25,Ship Out
1007769297000010,2008433591,001110,2022/12/27,Y101,A2EE1A,1,,L2Q00,4510322677,4510322677,C2Q00012,IN,2023/10/10,2023/09/25,,1009,A2EE1A-N,YAS,3U13,2008433632,001110,2023/08/08,2023/08/30,2023/08/30,2023/09/25,Ship Out
1007769298000010,2008433591,001120,2022/12/27,Y101,A2EE1A,11,,L2Q00,4510322677,4510322677,C2Q00012,IN,2023/10/10,2023/09/25,,1009,A2EE1A-T,YAS,3U13,2008433632,001120,2023/08/08,2023/08/30,2023/08/30,2023/09/25,Ship Out
1007769299000010,2008433591,001130,2022/12/27,Y101,ANT401,6,,L2Q00,4510322677,4510322677,C2Q00012,IN,2023/10/10,2023/09/05,,1009,ANT401-5E,YAS,3U13,2008433632,001130,2023/08/03,2023/08/30,2023/08/14,2023/09/05,Ship Out
1007769300000010,2008433591,001140,2022/12/27,Y101,A2EE2A,6,,L2Q00,4510322677,4510322677,C2Q00012,IN,2023/10/10,2023/09/25,,1009,A2EE2A-T,YAS,3U13,2008433632,001140,2023/08/17,2023/08/30,2023/08/30,2023/09/25,Ship Out
1007769301000010,2008433591,001150,2022/12/27,Y101,ANT502,6,,L2Q00,4510322677,4510322677,C2Q00012,IN,2023/10/10,2023/09/05,,1009,ANT502-5E,YAS,3U13,2008433632,001150,2023/08/03,2023/08/30,2023/08/16,2023/09/05,Ship Out
1007769302000010,2008433591,001160,2022/12/27,Y101,A2EE3A,6,,L2Q00,4510322677,4510322677,C2Q00012,IN,2023/10/10,2023/09/25,,1009,A2EE3A-NN,YAS,3U13,2008433632,001160,2023/08/17,2023/08/30,2023/08/30,2023/09/25,Ship Out
1007769309000010,2008433591,001230,2022/12/27,Y101,ADV559,80,,L2Q00,4510322677,4510322677,C2Q00012,IN,2023/10/10,2023/09/25,,1009,ADV559-P00,YAS,3U13,2008433632,001230,2023/08/03,2023/08/30,2023/08/16,2023/09/25,Ship Out
