Name 1,Posting Date,Material,Material Description,Cost Center,Movement Type Text,Sales Order,Order,Network,Qty in Un. of Entry,Unit of Entry,Purchase Order,Customer,Vendor,Consumption,Storage Location,Special Stock,Movement Type,Trans./Event Type,Plant,Material Document,Material Doc.Item,Asset,Subnumber,Counter,Routing number for operations,Document Header Text,Document Date,Qty in OPUn,Order Price Unit,Order Unit,Qty in order unit,Company Code,Valuation Type,Batch,Entry Date,Time of Entry,Amount in LC,Smart Number,Item,Ext. Amount in Local Currency,Sales Value,Reason for Movement,Sales Order Schedule,Sales Order Item,Movement indicator,Receipt Indicator,Sales Order,Sales order item,Base Unit of Measure,Quantity,Material Doc. Year,Operation/Activity,WBS Element,Reservation,Item No.Stock Transfer Reserv.,Debit/Credit Ind.,User name,Sales Value inc. VAT,Currency,Goods Receipt/Issue Slip,Item automatically created,Reference,Original Line Item,Multiple Account Assignment
YIL,11/30/2023,CPA110Y_0000000007,Bottom works: CPA110Y-NFS5G-9NNNN,,GR for PO,,,,4,ST,4511282979,,V1000006,,9002,,907,WE,2Q00,5036131092,1,,,0,0,T;INBLR4;8893923,11/21/2023,4,ST,ST,4,2Q00,,,11/30/2023,2:31:13 PM,"90,581.28",,10,0.00,0.00,0,0,0,B,,,0,ST,4,2023,,,0,0,S,30038064,0.00,INR,,,0186733001,0,
YIL,11/30/2023,CPA110Y_0000000010,Bottom works: CPA110Y-NHSNN-NNNNN/K3,,GR for PO,,,,1,ST,4511282979,,V1000006,,9002,,907,WE,2Q00,5036131092,2,,,0,0,T;INBLR4;8893923,11/21/2023,1,ST,ST,1,2Q00,,,11/30/2023,2:31:13 PM,"14,830.52",,20,0.00,0.00,0,0,0,B,,,0,ST,1,2023,,,0,0,S,30038064,0.00,INR,,,0186733001,0,
YIL,11/30/2023,CPA110Y_0000000011,Bottom works: CPA110Y-NMSNN-NNNNN/K3,,GR for PO,,,,1,ST,4511282979,,V1000006,,9002,,907,WE,2Q00,5036131092,4,,,0,0,T;INBLR4;8893923,11/21/2023,1,ST,ST,1,2Q00,,,11/30/2023,2:31:13 PM,"14,830.52",,40,0.00,0.00,0,0,0,B,,,0,ST,1,2023,,,0,0,S,30038064,0.00,INR,,,0186733001,0,
YIL,11/30/2023,CPA110Y_0000000254,Bottom works: CPA110Y-NMSNN-NNNNN,,GR for PO,,,,18,ST,4511282979,,V1000006,,9002,,907,WE,2Q00,5036131092,3,,,0,0,T;INBLR4;8893923,11/21/2023,18,ST,ST,18,2Q00,,,11/30/2023,2:31:13 PM,"207,158.76",,30,0.00,0.00,0,0,0,B,,,0,ST,18,2023,,,0,0,S,30038064,0.00,INR,,,0186733001,0,
YIL,11/30/2023,CPA430Y_0000000058,Bottom works: CPA430Y-NASNN-NNNNN/A1,,GR for PO,,,,8,ST,4511458547,,V1000006,,9002,,907,WE,2Q00,5036131092,5,,,0,0,T;INBLR4;8893923,11/21/2023,8,ST,ST,8,2Q00,,,11/30/2023,2:31:13 PM,"114,415.04",,50,0.00,0.00,0,0,0,B,,,0,ST,8,2023,,,0,0,S,30038064,0.00,INR,,,0186733001,0,
YIL,11/29/2023,F9900RE,TAG PLATE,,GR for PO,,,,"1,000",ST,4511429869,,V1000007,,9002,,907,WE,2Q00,5036117690,5,,,0,0,,11/21/2023,"1,000",ST,ST,"1,000",2Q00,,,11/29/2023,7:06:31 PM,"14,650.00",,120,0.00,0.00,0,0,0,B,,,0,ST,"1,000",2023,,,0,0,S,30038064,0.00,INR,,,0186733005,0,
YIL,11/29/2023,F9900RE,TAG PLATE,,GR for PO,,,,"1,000",ST,4511428759,,V1000007,,9002,,907,WE,2Q00,5036117690,3,,,0,0,,11/21/2023,"1,000",ST,ST,"1,000",2Q00,,,11/29/2023,7:06:31 PM,"14,650.00",,190,0.00,0.00,0,0,0,B,,,0,ST,"1,000",2023,,,0,0,S,30038064,0.00,INR,,,0186733005,0,
YIL,11/29/2023,F9900RE,TAG PLATE,,GR for PO,,,,"1,000",ST,4511428758,,V1000007,,9002,,907,WE,2Q00,5036117690,1,,,0,0,,11/21/2023,"1,000",ST,ST,"1,000",2Q00,,,11/29/2023,7:06:31 PM,"14,650.00",,250,0.00,0.00,0,0,0,B,,,0,ST,"1,000",2023,,,0,0,S,30038064,0.00,INR,,,0186733005,0,
YIL,11/29/2023,F9900RS,PLATE,,GR for PO,,,,"1,000",ST,4511429869,,V1000007,,9002,,907,WE,2Q00,5036117690,6,,,0,0,,11/21/2023,"1,000",ST,ST,"1,000",2Q00,,,11/29/2023,7:06:31 PM,"18,720.00",,150,0.00,0.00,0,0,0,B,,,0,ST,"1,000",2023,,,0,0,S,30038064,0.00,INR,,,0186733005,0,
YIL,11/29/2023,F9900RS,PLATE,,GR for PO,,,,"1,000",ST,4511428759,,V1000007,,9002,,907,WE,2Q00,5036117690,4,,,0,0,,11/21/2023,"1,000",ST,ST,"1,000",2Q00,,,11/29/2023,7:06:31 PM,"18,720.00",,220,0.00,0.00,0,0,0,B,,,0,ST,"1,000",2023,,,0,0,S,30038064,0.00,INR,,,0186733005,0,
YIL,11/29/2023,F9900RS,PLATE,,GR for PO,,,,"1,000",ST,4511428758,,V1000007,,9002,,907,WE,2Q00,5036117690,2,,,0,0,,11/21/2023,"1,000",ST,ST,"1,000",2Q00,,,11/29/2023,7:06:31 PM,"18,720.00",,280,0.00,0.00,0,0,0,B,,,0,ST,"1,000",2023,,,0,0,S,30038064,0.00,INR,,,0186733005,0,
YIL,11/29/2023,F9903BD,VENT PLUG,,GR for PO,,,,10,ST,4511471269,,V1000007,,9002,,907,WE,2Q00,5036117690,8,,,0,0,,11/21/2023,10,ST,ST,10,2Q00,,,11/29/2023,7:06:31 PM,"2,842.70",,230,0.00,0.00,0,0,0,B,,,0,ST,10,2023,,,0,0,S,30038064,0.00,INR,,,0186733005,0,
YIL,11/29/2023,F9903BD,VENT PLUG,,GR for PO,,,,10,ST,4511471268,,V1000007,,9002,,907,WE,2Q00,5036117690,13,,,0,0,,11/21/2023,10,ST,ST,10,2Q00,,,11/29/2023,7:06:31 PM,"2,842.70",,290,0.00,0.00,0,0,0,B,,,0,ST,10,2023,,,0,0,S,30038064,0.00,INR,,,0186733005,0,
YIL,11/29/2023,F9903CM,VENT SCREW,,GR for PO,,,,10,ST,4511471269,,V1000007,,9002,,907,WE,2Q00,5036117690,9,,,0,0,,11/21/2023,10,ST,ST,10,2Q00,,,11/29/2023,7:06:31 PM,"1,669.80",,250,0.00,0.00,0,0,0,B,,,0,ST,10,2023,,,0,0,S,30038064,0.00,INR,,,0186733005,0,
