Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,2002,Line-side Transm,F9913JZ,,METER COVER,,0,,15,ST,,"1,375.77"
2Q00,YIL,2002,Line-side Transm,F9913JX,,METER COVER,,0,,28,ST,,943.26
2Q00,YIL,2002,Line-side Transm,F9913JS,,METER COVER,,0,,23,ST,,982.34
2Q00,YIL,2002,Line-side Transm,F9913JA,,COVER ASSY,,0,,269,ST,,688.00
2Q00,YIL,2002,Line-side Transm,F9913GS,,METER COVER ASSY,,0,,3,ST,,968.49
2Q00,YIL,2002,Line-side Transm,F9913GA,,METER COVER ASSY,,0,,10,ST,,785.22
2Q00,YIL,2002,Line-side Transm,F9913CS,,METER COVER,,0,,30,ST,,432.53
2Q00,YIL,2002,Line-side Transm,F9913CA,,TERMINAL COVER,,0,,29,ST,,411.35
2Q00,YIL,2002,Line-side Transm,F9910LS,,TERMINAL ASSY,,0,,557,ST,,72.46
2Q00,YIL,2002,Line-side Transm,F9910LE,,O-RING,,0,,582,ST,,7.33
2Q00,YIL,2002,Line-side Transm,F9903CZ,,PLUG,,0,,31,ST,,210.97
2Q00,YIL,2002,Line-side Transm,F9903CM,,VENT SCREW,,0,,21,ST,,166.98
2Q00,YIL,2002,Line-side Transm,F9903BD,,VENT PLUG,,0,,21,ST,,284.27
2Q00,YIL,2002,Line-side Transm,F9900UB,,FLANGE,,0,,6,ST,,"1,582.67"
2Q00,YIL,2002,Line-side Transm,F9900TY,,FLANGE,,0,,9,ST,,"1,180.28"
2Q00,YIL,2002,Line-side Transm,F9900TM,,COVER FLANGE (FOR 3RD PARTY'S DFS),,0,,104,ST,,"1,671.46"
2Q00,YIL,2002,Line-side Transm,F9900TL,,FLANGE,,0,,3,ST,,"1,455.60"
2Q00,YIL,2002,Line-side Transm,F9900TH,,FLANGE,,0,,9,ST,,"1,169.20"
2Q00,YIL,2002,Line-side Transm,F9900TF,,FLANGE,,0,,3,ST,,"1,396.14"
2Q00,YIL,2002,Line-side Transm,F9900TE,,FLANGE,,0,,42,ST,,"1,414.88"
2Q00,YIL,2002,Line-side Transm,F9900TD,,FLANGE,,0,,10,ST,,"1,396.14"
2Q00,YIL,2002,Line-side Transm,F9900TB,,FLANGE,,0,,144,ST,,"1,181.42"
2Q00,YIL,2002,Line-side Transm,F9900TA,,FLANGE,,0,,2,ST,,"1,149.33"
2Q00,YIL,2002,Line-side Transm,F9900SS,,BRACKET,,0,,8,ST,,"1,549.28"
2Q00,YIL,2002,Line-side Transm,F9900SN,,U-BOLT ASSY,,0,,291,ST,,110.74
2Q00,YIL,2002,Line-side Transm,F9900SK,,U-BOLT ASSY,,0,,160,ST,,63.51
2Q00,YIL,2002,Line-side Transm,F9900SH,,BOLT,,0,,295,ST,,26.88
2Q00,YIL,2002,Line-side Transm,F9900SG,,SCREW FOR BRACKET,,0,,54,ST,,51.29
2Q00,YIL,2002,Line-side Transm,F9900SF,,BRACKET,,0,,125,ST,,444.55
2Q00,YIL,2002,Line-side Transm,F9900SD,,BRACKET,,0,,10,ST,,577.52
2Q00,YIL,2002,Line-side Transm,F9900SB,,BRACKET,,0,,11,ST,,765.67
2Q00,YIL,2002,Line-side Transm,F9900RS,,PLATE,,0,,564,ST,,18.72
2Q00,YIL,2002,Line-side Transm,F9900RR,,TAPPING SCREW,,0,,344,ST,,1.63
2Q00,YIL,2002,Line-side Transm,F9900RP,,BOLT,,0,,506,ST,,3.26
2Q00,YIL,2002,Line-side Transm,F9900RM,,NAME PLATE,,0,,114,ST,,18.72
2Q00,YIL,2002,Line-side Transm,F9900RL,,SHAFT,,0,,54,ST,,71.68
2Q00,YIL,2002,Line-side Transm,F9900RJ,,BOLT,,0,,876,ST,,5.70
