Group,Entry Month,Sales Office,DATE OF CREATION (mm/dd/yyyy),Order Category,INDENT / ORD PRO. ID,SAP Entry ,CUSTOMER,SO NO (FAK),YGSP SO NO,SO item No.,MODEL CODE,QTY,SO BASIC VALUE,CDD (mm/dd/yyyy),BASE MODEL,CAP. MOD,WET. Part,CAP. CATG,B/O O R,SEAL Reqt.,SEAL Vendor,M+TT,"TRADING FOB 
(MAX DATE)",PAYMENT TYPE,INSPN,LD Clause,MC DATE (mm/dd/yyyy),Matl Req DATE (mm/dd/yyyy),Txr Category,Billing Month,EARLY ACCEPTABLE,BASE,Protocol,CAP. Mod,Wet. Part,P-Connect,C-Bolt,Install.,Amp-Hous.,Ele.,IND,Mount,OPTIONS,Tokuchu,"LM Tokuchu 
(Yes / No) ",Parts Avail. Date  (mm/dd/yyyy),LM Readiness Date,MFG Status,"SCH. Date
(mm/dd/yyyy)",FG date   (mm/dd/yyyy),FG Material Status,DESP Date,DESP Month,Remarks,END USER,END USER CODE,Seal Rediness Date,Seal MC Remarks,SO+ITEM,RON / PL,TOKUCHU No.,23-Nov,Discreet - Dec'23,PPMG - Dec'23,Linkage No,Non RoHS MFG,Non RoHS CPA, CPA QTY,Non RoHS Parts,"LM OTD Date
(max(CDD-3,MCD+5,MRD)","OTD
(Yes/No)",REMARKS,IDOC-FOB MAX DATE,NON-IDOC-FOB MAX DATE,
PPMG,21-Oct,Baroda,10/12/2021,BL,35281,NO,L&T-RUF,PBD2100545,2007763002,,EJA110E-FMS4J-912DB/MH1/A/KS26/T12/JH01,1,,12/25/2021,EJA110E,M,S,Exotic,,,,M+T,,CREDIT,,Y,06/16/2023,,LM-Cert,01/31/2024,,EJA110E,F,M,S,4,J,9,1,2,D,B,/MH1/A/KS26/T12/JH01,-,,12/14/2022,09/11/2023,Forecast,,,,,,,HINDUSTAN PETROLEUM CORPORATION LTD,200255615,,,2007763002,Ganesha Prasada K,,01/31/2024,#N/A,#N/A,2.00776E+13,,,,,12/22/2021,TRUE,#REF!,,,
PPMG,21-Oct,Baroda,10/12/2021,BL,35281,NO,L&T-RUF,PBD2100545,2007763002,,EJA110E-FMS4J-912DB/MH1/A/KS26/T12/JH01,1,,12/25/2021,EJA110E,M,S,Exotic,,,,M+T,,CREDIT,Y,Y,06/16/2023,,LM-Cert,01/31/2024,,EJA110E,F,M,S,4,J,9,1,2,D,B,/MH1/A/KS26/T12/JH01,-,,12/14/2022,09/11/2023,Forecast,,,,,,,HINDUSTAN PETROLEUM CORPORATION LTD,200255615,,,2007763002,Ganesha Prasada K,,01/31/2024,#N/A,#N/A,2.00776E+13,,,,,12/22/2021,TRUE,#REF!,,,
PPMG,21-Oct,Baroda,10/12/2021,BL,35281,NO,L&T-RUF,PBD2100545,2007763002,,EJA110E-FMS5J-912DB/MG1/A/KS26/T12/JH01,1,,12/25/2021,EJA110E,M,S,Exotic,,,,M+T,,CREDIT,Y,Y,06/16/2023,,LM-Cert,01/31/2024,,EJA110E,F,M,S,5,J,9,1,2,D,B,/MG1/A/KS26/T12/JH01,-,,12/14/2022,09/11/2023,Forecast,,,,,,,HINDUSTAN PETROLEUM CORPORATION LTD,200255615,,,2007763002,Ganesha Prasada K,,01/31/2024,#N/A,#N/A,2.00776E+13,,,,,12/22/2021,TRUE,#REF!,,,
PPMG,21-Oct,Baroda,10/12/2021,BL,35281,NO,L&T-RUF,PBD2100545,2007763002,,EJA110E-FMS5J-912DB/MG1/A/KS26/T12/JH01,1,,12/25/2021,EJA110E,M,S,Exotic,,,,M+T,,CREDIT,Y,Y,06/16/2023,,LM-Cert,01/31/2024,,EJA110E,F,M,S,5,J,9,1,2,D,B,/MG1/A/KS26/T12/JH01,-,,12/14/2022,09/11/2023,Forecast,,,,,,,HINDUSTAN PETROLEUM CORPORATION LTD,200255615,,,2007763002,Ganesha Prasada K,,01/31/2024,#N/A,#N/A,2.00776E+13,,,,,12/22/2021,TRUE,#REF!,,,
PPMG,21-Oct,Baroda,10/12/2021,BL,35281,NO,L&T-RUF,PBD2100545,2007763002,,EJA110E-FMS5J-912DB/MG1/A/KS26/T12/JH01,1,,12/25/2021,EJA110E,M,S,Exotic,,,,M+T,,CREDIT,Y,Y,06/16/2023,,LM-Cert,01/31/2024,,EJA110E,F,M,S,5,J,9,1,2,D,B,/MG1/A/KS26/T12/JH01,-,,12/14/2022,09/11/2023,Forecast,,,,,,,HINDUSTAN PETROLEUM CORPORATION LTD,200255615,,,2007763002,Ganesha Prasada K,,01/31/2024,#N/A,#N/A,2.00776E+13,,,,,12/22/2021,TRUE,#REF!,,,
PPMG,21-Oct,Baroda,10/12/2021,BL,35281,NO,L&T-RUF,PBD2100545,2007763002,,EJA110E-FMS4J-912DB/MH1/A/KS26/T12/JH01,1,,12/25/2021,EJA110E,M,S,Exotic,,,,M+T,,CREDIT,Y,Y,06/16/2023,,LM-Cert,01/31/2024,,EJA110E,F,M,S,4,J,9,1,2,D,B,/MH1/A/KS26/T12/JH01,-,,12/14/2022,09/11/2023,Forecast,,,,,,,HINDUSTAN PETROLEUM CORPORATION LTD,200255615,,,2007763002,Ganesha Prasada K,,01/31/2024,#N/A,#N/A,2.00776E+13,,,,,12/22/2021,TRUE,#REF!,,,
PPMG,21-Oct,Baroda,10/12/2021,BL,35281,NO,L&T-RUF,PBD2100545,2007763002,,EJA110E-JMS5J-912EB/MG1/A/KU22/T12/JH01,1,,12/25/2021,EJA110E,M,S,Exotic,,,,M+T,,CREDIT,Y,Y,06/16/2023,,LM-Cert,01/31/2024,,EJA110E,J,M,S,5,J,9,1,2,E,B,/MG1/A/KU22/T12/JH01,-,,12/14/2022,09/11/2023,Forecast,,,,,,,HINDUSTAN PETROLEUM CORPORATION LTD,200255615,,,2007763002,Ganesha Prasada K,,01/31/2024,#N/A,#N/A,2.00776E+13,,,,,12/22/2021,TRUE,#REF!,,,
PPMG,21-Oct,Baroda,10/12/2021,BL,35281,NO,L&T-RUF,PBD2100545,2007763002,,EJA110E-JMS5J-912EB/MG1/A/KU22/T12/JH01,1,,12/25/2021,EJA110E,M,S,Exotic,,,,M+T,,CREDIT,Y,Y,06/16/2023,,LM-Cert,01/31/2024,,EJA110E,J,M,S,5,J,9,1,2,E,B,/MG1/A/KU22/T12/JH01,-,,12/14/2022,09/11/2023,Forecast,,,,,,,HINDUSTAN PETROLEUM CORPORATION LTD,200255615,,,2007763002,Ganesha Prasada K,,01/31/2024,#N/A,#N/A,2.00776E+13,,,,,12/22/2021,TRUE,#REF!,,,
PPMG,21-Oct,Baroda,10/12/2021,BL,35281,NO,L&T-RUF,PBD2100545,2007763002,,EJA110E-FMS5J-912DB/MG1/A/KS26/T12/JH01,1,,12/25/2021,EJA110E,M,S,Exotic,,,,M+T,,CREDIT,Y,Y,06/16/2023,,LM-Cert,01/31/2024,,EJA110E,F,M,S,5,J,9,1,2,D,B,/MG1/A/KS26/T12/JH01,-,,12/14/2022,09/11/2023,Forecast,,,,,,,HINDUSTAN PETROLEUM CORPORATION LTD,200255615,,,2007763002,Ganesha Prasada K,,01/31/2024,#N/A,#N/A,2.00776E+13,,,,,12/22/2021,TRUE,#REF!,,,
PPMG,21-Oct,Baroda,10/12/2021,BL,35281,NO,L&T-RUF,PBD2100545,2007763002,,EJA110E-FFS5J-912DB/KS26/A/MG1/T12/JH01,18,,12/25/2021,EJA110E,F,S,Exotic,,,,M+T,,CREDIT,Y,Y,06/16/2023,,LM-Cert,01/31/2024,,EJA110E,F,F,S,5,J,9,1,2,D,B,/KS26/A/MG1/T12/JH01,-,,12/14/2022,09/11/2023,Forecast,,,,,,,HINDUSTAN PETROLEUM CORPORATION LTD,200255615,,,2007763002,Ganesha Prasada K,,01/31/2024,#N/A,#N/A,2.00776E+13,,,,,12/22/2021,TRUE,#REF!,,,
